ci_high,ci_level,ci_low,max_value,mean,metric_name,min_value,n,scenario_key,scenario_name,std,stderr,suite_name
3150832.707126442,0.95,3148910.792873558,3153809.0,3149871.75,accepted_arrivals,3145822.0,20,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",2192.6581050837526,490.29325743831475,baseline_gpu
3151020.743037517,0.95,3149099.456962483,3154002.0,3150060.1,arrival_attempts,3146015.0,20,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",2191.941434580673,490.13300504207933,baseline_gpu
3150834.759640036,0.95,3148913.5403599637,3153820.0,3149874.15,completed_jobs,3145827.0,20,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",2191.8652300819285,490.1159651981409,baseline_gpu
3150834.759640036,0.95,3148913.5403599637,3153820.0,3149874.15,completed_time_samples,3145827.0,20,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",2191.8652300819285,490.1159651981409,baseline_gpu
0.00006365539031122029,0.95,0.000055929911308882834,0.00007778246941879035,0.00005979265081005156,loss_probability,0.00004411558409985483,20,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",8.813782469593519e-6,1.970821674090708e-6,baseline_gpu
58.34876550107007,0.95,58.31319712080964,58.403922990777154,58.330981310939855,mean_num_jobs,58.25600788483301,20,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",0.040578968154123436,0.009073733124941917,baseline_gpu
361.7619360114798,0.95,361.49849688802584,362.26701749383295,361.6302164497528,mean_occupied_resource,361.1064739742307,20,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",0.3005503124661789,0.06720509293331785,baseline_gpu
0.8333333333397772,0.95,0.8333333333396864,0.8333333333399183,0.8333333333397318,mean_service_time,0.8333333333395406,20,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",1.035687009981929e-13,2.3158665577330965e-14,baseline_gpu
0.8333333333397772,0.95,0.8333333333396864,0.8333333333399183,0.8333333333397318,mean_sojourn_time,0.8333333333395406,20,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",1.035687009981929e-13,2.3158665577330965e-14,baseline_gpu
0.0,0.95,0.0,0.0,0.0,pi_hat_0,0.0,20,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",0.0,0.0,baseline_gpu
