accepted_arrivals__ci_high,accepted_arrivals__ci_low,accepted_arrivals__max,accepted_arrivals__mean,accepted_arrivals__min,accepted_arrivals__n,accepted_arrivals__std,accepted_arrivals__stderr,arrival_attempts__ci_high,arrival_attempts__ci_low,arrival_attempts__max,arrival_attempts__mean,arrival_attempts__min,arrival_attempts__n,arrival_attempts__std,arrival_attempts__stderr,completed_jobs__ci_high,completed_jobs__ci_low,completed_jobs__max,completed_jobs__mean,completed_jobs__min,completed_jobs__n,completed_jobs__std,completed_jobs__stderr,loss_probability__ci_high,loss_probability__ci_low,loss_probability__max,loss_probability__mean,loss_probability__min,loss_probability__n,loss_probability__std,loss_probability__stderr,mean_num_jobs__ci_high,mean_num_jobs__ci_low,mean_num_jobs__max,mean_num_jobs__mean,mean_num_jobs__min,mean_num_jobs__n,mean_num_jobs__std,mean_num_jobs__stderr,mean_occupied_resource__ci_high,mean_occupied_resource__ci_low,mean_occupied_resource__max,mean_occupied_resource__mean,mean_occupied_resource__min,mean_occupied_resource__n,mean_occupied_resource__std,mean_occupied_resource__stderr,pi_hat_0__ci_high,pi_hat_0__ci_low,pi_hat_0__max,pi_hat_0__mean,pi_hat_0__min,pi_hat_0__n,pi_hat_0__std,pi_hat_0__stderr,pi_hat_10__ci_high,pi_hat_10__ci_low,pi_hat_10__max,pi_hat_10__mean,pi_hat_10__min,pi_hat_10__n,pi_hat_10__std,pi_hat_10__stderr,pi_hat_11__ci_high,pi_hat_11__ci_low,pi_hat_11__max,pi_hat_11__mean,pi_hat_11__min,pi_hat_11__n,pi_hat_11__std,pi_hat_11__stderr,pi_hat_12__ci_high,pi_hat_12__ci_low,pi_hat_12__max,pi_hat_12__mean,pi_hat_12__min,pi_hat_12__n,pi_hat_12__std,pi_hat_12__stderr,pi_hat_13__ci_high,pi_hat_13__ci_low,pi_hat_13__max,pi_hat_13__mean,pi_hat_13__min,pi_hat_13__n,pi_hat_13__std,pi_hat_13__stderr,pi_hat_14__ci_high,pi_hat_14__ci_low,pi_hat_14__max,pi_hat_14__mean,pi_hat_14__min,pi_hat_14__n,pi_hat_14__std,pi_hat_14__stderr,pi_hat_15__ci_high,pi_hat_15__ci_low,pi_hat_15__max,pi_hat_15__mean,pi_hat_15__min,pi_hat_15__n,pi_hat_15__std,pi_hat_15__stderr,pi_hat_16__ci_high,pi_hat_16__ci_low,pi_hat_16__max,pi_hat_16__mean,pi_hat_16__min,pi_hat_16__n,pi_hat_16__std,pi_hat_16__stderr,pi_hat_17__ci_high,pi_hat_17__ci_low,pi_hat_17__max,pi_hat_17__mean,pi_hat_17__min,pi_hat_17__n,pi_hat_17__std,pi_hat_17__stderr,pi_hat_18__ci_high,pi_hat_18__ci_low,pi_hat_18__max,pi_hat_18__mean,pi_hat_18__min,pi_hat_18__n,pi_hat_18__std,pi_hat_18__stderr,pi_hat_19__ci_high,pi_hat_19__ci_low,pi_hat_19__max,pi_hat_19__mean,pi_hat_19__min,pi_hat_19__n,pi_hat_19__std,pi_hat_19__stderr,pi_hat_1__ci_high,pi_hat_1__ci_low,pi_hat_1__max,pi_hat_1__mean,pi_hat_1__min,pi_hat_1__n,pi_hat_1__std,pi_hat_1__stderr,pi_hat_20__ci_high,pi_hat_20__ci_low,pi_hat_20__max,pi_hat_20__mean,pi_hat_20__min,pi_hat_20__n,pi_hat_20__std,pi_hat_20__stderr,pi_hat_2__ci_high,pi_hat_2__ci_low,pi_hat_2__max,pi_hat_2__mean,pi_hat_2__min,pi_hat_2__n,pi_hat_2__std,pi_hat_2__stderr,pi_hat_3__ci_high,pi_hat_3__ci_low,pi_hat_3__max,pi_hat_3__mean,pi_hat_3__min,pi_hat_3__n,pi_hat_3__std,pi_hat_3__stderr,pi_hat_4__ci_high,pi_hat_4__ci_low,pi_hat_4__max,pi_hat_4__mean,pi_hat_4__min,pi_hat_4__n,pi_hat_4__std,pi_hat_4__stderr,pi_hat_5__ci_high,pi_hat_5__ci_low,pi_hat_5__max,pi_hat_5__mean,pi_hat_5__min,pi_hat_5__n,pi_hat_5__std,pi_hat_5__stderr,pi_hat_6__ci_high,pi_hat_6__ci_low,pi_hat_6__max,pi_hat_6__mean,pi_hat_6__min,pi_hat_6__n,pi_hat_6__std,pi_hat_6__stderr,pi_hat_7__ci_high,pi_hat_7__ci_low,pi_hat_7__max,pi_hat_7__mean,pi_hat_7__min,pi_hat_7__n,pi_hat_7__std,pi_hat_7__stderr,pi_hat_8__ci_high,pi_hat_8__ci_low,pi_hat_8__max,pi_hat_8__mean,pi_hat_8__min,pi_hat_8__n,pi_hat_8__std,pi_hat_8__stderr,pi_hat_9__ci_high,pi_hat_9__ci_low,pi_hat_9__max,pi_hat_9__mean,pi_hat_9__min,pi_hat_9__n,pi_hat_9__std,pi_hat_9__stderr,rejected_arrivals__ci_high,rejected_arrivals__ci_low,rejected_arrivals__max,rejected_arrivals__mean,rejected_arrivals__min,rejected_arrivals__n,rejected_arrivals__std,rejected_arrivals__stderr,rejected_capacity__ci_high,rejected_capacity__ci_low,rejected_capacity__max,rejected_capacity__mean,rejected_capacity__min,rejected_capacity__n,rejected_capacity__std,rejected_capacity__stderr,rejected_resource__ci_high,rejected_resource__ci_low,rejected_resource__max,rejected_resource__mean,rejected_resource__min,rejected_resource__n,rejected_resource__std,rejected_resource__stderr,rejected_server__ci_high,rejected_server__ci_low,rejected_server__max,rejected_server__mean,rejected_server__min,rejected_server__n,rejected_server__std,rejected_server__stderr,replications,scenario_description,scenario_name,throughput__ci_high,throughput__ci_low,throughput__max,throughput__mean,throughput__min,throughput__n,throughput__std,throughput__stderr
256278.92796040038,255798.97203959964,257043.0,256038.95,255007.0,20,547.5682581819558,122.43998476160085,256411.85095545722,255928.8490445428,257176.0,256170.35,255103.0,20,551.0433429318184,123.21703733442742,256279.16879013975,255798.23120986027,257046.0,256038.7,255000.0,20,548.6882059680353,122.69041269969327,0.0005398654153663879,0.00048595996229143106,0.0006539636816598221,0.0005129126888289095,0.0003763185850421202,20,0.00006149922058992071,0.000013751643780231741,2.883981019634274,2.8772791814903877,2.894511243373512,2.880630100562331,2.866003215595683,20,0.00764593930405663,0.0017096840035708057,5.76936494170615,5.753553039967902,5.7969943737092535,5.761458990837026,5.729591476565334,20,0.018039355528548465,0.004033722523212101,0.0735494484574917,0.07305080700878741,0.07440490437762497,0.07330012773313956,0.07257045776931469,20,0.0005688860532625676,0.00012720678865466673,0.002451091386566805,0.0023760719228310477,0.002587235175071328,0.0024135816546989263,0.0023055654424330896,20,0.00008558760358451132,0.000019137969964627196,0.0011644670919972507,0.0011042076910976928,0.001278209807000394,0.0011343373915474718,0.0010231321477798246,20,0.00006874826157912491,0.000015372578622586034,0.0005345995562486882,0.0004893731511041711,0.0006390686837819885,0.0005119863536764297,0.0004009544926221679,20,0.000051597538056199714,0.000011537560256529491,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.17709756453822073,0.17640232463139288,0.1787450126481593,0.1767499445848068,0.17539897954246922,20,0.0007931797240154591,0.0001773603781273089,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.22494199348354704,0.22410403486574687,0.2258999517343823,0.22452301417464696,0.22295921654112516,20,0.0009560035013462994,0.0002137688815738137,0.2014181243018611,0.20105130421340153,0.20188073211329846,0.20123471425763131,0.20056323674709334,20,0.0004184947579536895,0.00009357827270117705,0.1441074393247621,0.1435680507757056,0.1452930812703506,0.14383774505023386,0.14282469357722138,20,0.0006153732780239509,0.00013760164811984317,0.08799306354112321,0.08743881680263771,0.089299504613406,0.08771594017188046,0.08666452438966071,20,0.0006323245699088593,0.00014139207221595273,0.04796053171293541,0.04749377958650227,0.04857274210714427,0.04772715564971884,0.046885118388304226,20,0.0005325044192544242,0.00011907160797719403,0.024180955572252073,0.023913745663912248,0.024723069228747455,0.02404735061808216,0.023489774171990756,20,0.00030485229525763533,0.00006816704552929094,0.011564952661914492,0.011413786872992993,0.011825247456485567,0.011489369767453742,0.011269529104527328,20,0.00017246081181444825,0.00003856340986719051,0.005367782452110064,0.0052616827328568865,0.005533158263955693,0.0053147325924834754,0.005083614220657046,20,0.00012104619600927192,0.000027066752269449575,138.33010263563278,124.46989736436723,168.0,131.4,96.0,20,15.812719730114674,3.5358316225688537,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,138.33010263563278,124.46989736436723,168.0,131.4,96.0,20,15.812719730114674,3.5358316225688537,20,"Scenario(name='base_deterministic', K=20, N=12, R=40, resource='ResourceDU(1,3)', work='Deterministic', replications=20)",base_deterministic,3.203489609876747,3.197477890123253,3.213075,3.20048375,3.1875,20,0.006858602574600453,0.0015336301587461686
256184.62371537517,255752.37628462483,256786.0,255968.5,254620.0,20,493.1389790227284,110.26922794496635,256315.82911789883,255875.97088210116,256949.0,256095.9,254723.0,20,501.8219331910264,112.2107955215493,256185.35143142552,255752.74856857446,256785.0,255969.05,254618.0,20,493.54448154463023,110.35990106536835,0.0005297206407298231,0.0004650923028246803,0.0006343671312205924,0.0004974064717772516,0.0003866673957365037,20,0.00007373265935937013,0.000016487123848938768,2.881914590070727,2.87474124178569,2.8902290691340826,2.8783279159282085,2.8637737399325935,20,0.008183872008948292,0.0018299694131166146,5.763681895596052,5.748399766777541,5.7838053042817,5.756040831186796,5.726004561306426,20,0.017434952452515435,0.0038985738868301187,0.07384829404787141,0.07310856702940144,0.07495154173888009,0.07347843053863642,0.07136593514911574,20,0.000843933822835163,0.00018870933963706886,0.0024898210811224175,0.0023748817489324895,0.00268911900799244,0.0024323514150274535,0.00220920454211232,20,0.00013113106265849185,0.000029321797006617207,0.0011547861701359562,0.0010820101606043289,0.0012676292100322372,0.0011183981653701425,0.0009732872854706329,20,0.00008302810956094166,0.000018565649702156576,0.0005299759084204973,0.0004876421992890846,0.0005973561140234324,0.0005088090538547909,0.0004223380943466054,20,0.00004829734224925386,0.000010799614040190421,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.17725579585163442,0.17655121999305012,0.1784106225753043,0.17690350792234227,0.1754007950384766,20,0.0008038308497130207,0.00017974204223697316,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.22504524900661924,0.22405753039922258,0.22690487117367233,0.2245513897029209,0.22145103680679099,20,0.0011268604761115633,0.0002519736625743233,0.2015703489177506,0.20086697473086124,0.20269428515372664,0.20121866182430592,0.1993731358685869,20,0.0008024598961558982,0.00017943548770220106,0.14408765248135316,0.14350079467487778,0.1450013229992147,0.14379422357811547,0.1428639605868861,20,0.0006695296233789021,0.00014971137508250573,0.08797400638906559,0.08741590448250376,0.08864325379316361,0.08769495543578468,0.08652337481018339,20,0.0006367228231172682,0.0001423755515315786,0.04796300929190616,0.04751121217500719,0.048488325898100405,0.04773711073345668,0.0467510954684536,20,0.0005154426680251373,0.00011525648442080643,0.024092371934531582,0.02374747510524024,0.024799782513873287,0.02391992351988591,0.02298122957400328,20,0.000393483126018033,0.00008798550177754378,0.011452315281703894,0.011267490743331096,0.011794675174765462,0.011359903012517495,0.010868276010720001,20,0.0002108611357001947,0.000047149983323844305,0.005350157928527122,0.005214512267036549,0.005494186877448237,0.0052823350977818356,0.00497039066968332,20,0.00015475433341548148,0.000034604120932968374,135.72805668192865,119.07194331807135,163.0,127.4,99.0,20,19.00249291124997,4.249086589151281,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,135.72805668192865,119.07194331807135,163.0,127.4,99.0,20,19.00249291124997,4.249086589151281,20,"Scenario(name='base_erlang_2', K=20, N=12, R=40, resource='ResourceDU(1,3)', work='Erlang(2)', replications=20)",base_erlang_2,3.2023168928928185,3.1969093571071805,3.2098125,3.1996131249999995,3.182725,20,0.00616930601930787,0.0013794987633171027
256140.76066485734,255778.33933514263,256709.0,255959.55,255303.0,20,413.47633738697476,92.45611974849133,256267.2431859354,255907.2568140646,256828.0,256087.25,255428.0,20,410.6983622280981,91.83494561898594,256140.6881914488,255778.61180855118,256708.0,255959.65,255304.0,20,413.08279723128277,92.36812149449102,0.0005269138625305471,0.00047043415493520533,0.000605203973261698,0.0004986740087328762,0.0003745303740231975,20,0.0000644361154228722,0.000014408353429156485,2.8825167137591086,2.876782707661082,2.8888175633305493,2.8796497107100953,2.8657402863028008,20,0.006541766848636538,0.0014627835366505875,5.763507760357948,5.752760407277599,5.777572870775313,5.758134083817773,5.731717538705826,20,0.012261353910282947,0.0027417220839575525,0.07337980731153367,0.07295193879895982,0.07416372914197863,0.07316587305524674,0.0723366358497181,20,0.00048814319400434326,0.00010915213645475792,0.002449738013134428,0.0023637071062185583,0.002637989376239784,0.002406722559676493,0.002218919583178058,20,0.00009815025048788636,0.00002194706320995458,0.00115114701174348,0.0010814068005780178,0.0012603200628228933,0.001116276906160749,0.0009935449413364494,20,0.00007956465229015879,0.000017791197112692938,0.0005134548368199062,0.00047868011756660905,0.0006029150952626878,0.0004960674771932577,0.00044035345507199966,20,0.00003967350255524769,8.871264861904544e-6,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.17704407047586912,0.17627796868490025,0.17841491307750867,0.1766610195803847,0.17544235342542092,20,0.000874024061565974,0.0001954377215631979,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.22502894885278152,0.22440217090268566,0.2258334128290826,0.2247155598777336,0.2235566004959725,20,0.000715073396382444,0.0001598952723212797,0.20201339767706786,0.2014565375951591,0.20296674856532887,0.20173496763611348,0.20046593290608522,20,0.0006353060601755427,0.00014205875370700854,0.14387932746961324,0.14338834526613853,0.14433746290564756,0.14363383636787588,0.1420594076300958,20,0.0005601478350479839,0.00012525286366166311,0.08798596612526656,0.08739699851570935,0.08943361458489812,0.08769148232048796,0.08667931605602798,20,0.0006719366385829516,0.00015024960004441878,0.04786564684361394,0.04739503103904574,0.04910080697426729,0.04763033894132984,0.046950893873606445,20,0.0005369123813503153,0.00012005725826605953,0.024169579133914886,0.023850072022386423,0.024810367853670006,0.024009825578150654,0.02338207037006073,20,0.00036451670862713175,0.00008150841394247506,0.01153027162587553,0.011334228155618534,0.011852136097635458,0.011432249890747032,0.010877053266922348,20,0.00022366050065071523,0.00005001200833366352,0.005367672727068608,0.005243886890730804,0.005541604054187519,0.005305779808899706,0.004983821471879219,20,0.00014122379129734248,0.0000315785997381101,134.92113362016482,120.47886637983517,155.0,127.7,96.0,20,16.476777917005368,3.684319547259139,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,134.92113362016482,120.47886637983517,155.0,127.7,96.0,20,16.476777917005368,3.684319547259139,20,"Scenario(name='base_erlang_4', K=20, N=12, R=40, resource='ResourceDU(1,3)', work='Erlang(4)', replications=20)",base_erlang_4,3.20175860239311,3.197232647606889,3.20885,3.1994956249999995,3.1913,20,0.005163534965391008,0.0011546015186811316
256195.22039022497,255762.879609775,257023.0,255979.05,255028.0,20,493.2454790787027,110.29304208144296,256323.23522650183,255885.36477349815,257146.0,256104.3,255137.0,20,499.5541275135153,111.70369875608182,256195.4933517579,255762.90664824212,257021.0,255979.2,255023.0,20,493.5260458119073,110.35577871021,0.0005194318850308205,0.0004585934442850934,0.0006274259169771321,0.000489012664657957,0.0003476100830358468,20,0.00006940887191070674,0.0000155202955833916,2.8823059357584473,2.8725701769962297,2.899348831670174,2.8774380563773385,2.860789312825648,20,0.011107254304964096,0.00248365756692769,5.762975949480224,5.742934576908714,5.79530631878798,5.752955263194469,5.71831002009193,20,0.022864640261649857,0.005112688990612765,0.07355108116343859,0.07285706750082763,0.07469759025467279,0.0732040743321331,0.07197294185536907,20,0.0007917807363566953,0.000177047554976841,0.002425443727815346,0.0023353686186913043,0.0025610913633382095,0.002380406173253325,0.002170051815888428,20,0.00010276416743919602,0.000022978766404521277,0.0011441648499263422,0.0010627177451048326,0.0012754234775315125,0.0011034412975155874,0.000926499657852628,20,0.00009292071914994135,0.000020777704453743532,0.0005058976650647383,0.0004623591633730093,0.0005641568955786169,0.0004841284142188738,0.000377785377430564,20,0.00004967185631425869,0.000011106964728728459,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.1773013700641902,0.17631619464292816,0.1791533905693774,0.17680878235355918,0.17499863646790514,20,0.0011239590263291595,0.00025132487867964763,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.22540943818532125,0.22440412060691814,0.22648577291054875,0.2249067793961197,0.22224394339881268,20,0.0011469386488815471,0.00025646327849209024,0.20188376952951323,0.2013266815798709,0.2027929849871871,0.20160522555469207,0.20051780381413858,20,0.0006355660280862452,0.00014211688429903847,0.1441218550938216,0.14352282810173025,0.14500851241066143,0.14382234159777593,0.14270545507989618,20,0.0006834131061790174,0.00015281581621305645,0.08775046381959323,0.08715545807372213,0.08884751362313704,0.08745296094665768,0.08656905481791974,20,0.0006788253790708988,0.00015178996924545928,0.047898032203083855,0.04740093378790742,0.048956314866139425,0.04764948299549564,0.046753812100997535,20,0.0005671256495576721,0.00012681315041946782,0.02425799296221815,0.023826937097912733,0.02504852155223275,0.024042465030065442,0.023086927942969078,20,0.0004917795542620835,0.00010996525132745651,0.011461950809241107,0.011255948976384631,0.011835638950456723,0.011358949892812869,0.011017677849169013,20,0.00023502171743463148,0.000052552453637258347,0.005241632368239185,0.005120291663161938,0.005523244060163052,0.005180962015700561,0.005010936645569245,20,0.00013843420957255668,0.00003095483030156888,133.0832447193975,117.4167552806025,161.0,125.25,89.0,20,17.873458711614536,3.996626867220591,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,133.0832447193975,117.4167552806025,161.0,125.25,89.0,20,17.873458711614536,3.996626867220591,20,"Scenario(name='base_exponential', K=20, N=12, R=40, resource='ResourceDU(1,3)', work='Exponential', replications=20)",base_exponential,3.202443666896973,3.197036333103026,3.2127625,3.1997399999999994,3.1877875,20,0.0061690755726488454,0.001379447233877626
255953.82955310517,255630.87044689484,256290.0,255792.35,255054.0,20,368.45499260960946,82.38904101242693,256078.52191130788,255761.67808869213,256454.0,255920.1,255224.0,20,361.47823695137396,80.82899102100485,255953.7808605578,255630.4191394422,256290.0,255792.1,255053.0,20,368.9143246708758,82.4917507837506,0.0005388338802779935,0.0004595928082420223,0.0006660815597279253,0.0004992133442600078,0.00034331950952126434,20,0.00009040391817402197,0.00002021493064694418,2.8820971532865984,2.866113207085168,2.9057899046504683,2.8741051801858832,2.8340370627204106,20,0.018235636234655545,0.004077612223364811,5.764271815829776,5.7292565909125805,5.816831588870642,5.746764203371178,5.671826104290902,20,0.03994788872646924,0.008932619474998273,0.07452862945313384,0.07303547662241906,0.07792370326065834,0.07378205303777645,0.07043162922512133,20,0.0017034962155480582,0.0003809133337379092,0.002469595085406049,0.002326124719579989,0.002733709527946985,0.002397859902493019,0.0021858881243515954,20,0.0001636813192866493,0.000036600255657179524,0.0011726521453419428,0.0010653228437730894,0.0014055130465741514,0.0011189874945575161,0.0009419574003265552,20,0.00012244899201137684,0.00002738042699137673,0.0005341058564537298,0.000465891110316938,0.0006230173335064137,0.0004999984833853339,0.00036890173958440753,20,0.00007782429199358608,0.00001740204071984511,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.17855245191866007,0.17678557359397554,0.18206094763811703,0.1776690127563178,0.17380230584229509,20,0.0020157819598367456,0.0004507425490012714,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.22538619521495795,0.2239527298029143,0.22854412115269146,0.22466946250893613,0.2219893601028125,20,0.0016354005124622195,0.0003656866716303515,0.20174472868313229,0.2004667919985005,0.20352658018454137,0.2011057603408164,0.1990935318264226,20,0.001457962146405456,0.00032601024679841,0.14385724839886063,0.14266681984822568,0.14609063379869913,0.14326203412354316,0.14055682757233937,20,0.001358126568943514,0.0003036863330206252,0.08779741926325017,0.08670942769689531,0.0892976979628976,0.08725342348007274,0.08470462903832636,20,0.0012412590846085751,0.00027755396908739366,0.04797930549678789,0.047124079723177406,0.049308500442271044,0.04755169260998265,0.04572697893302652,20,0.0009757031154588578,0.0002181738492024332,0.02423924184838537,0.02368808860344166,0.024922323377571547,0.023963665225913516,0.022749781168907295,20,0.0006287952898292351,0.00014060290119898518,0.011543159551958738,0.011282837124277313,0.011913445942810404,0.011412998338118025,0.01083796750726865,20,0.000296994561611824,0.0000664100028711788,0.005417190998509909,0.005208912397664682,0.005738727636046133,0.0053130516980872955,0.004938262516159148,20,0.000237619218221383,0.0000531332724703369,137.86542410307942,117.63457589692058,170.0,127.75,88.0,20,23.080807702732727,5.161025499891114,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,137.86542410307942,117.63457589692058,170.0,127.75,88.0,20,23.080807702732727,5.161025499891114,20,"Scenario(name='base_hyperexp_2', K=20, N=12, R=40, resource='ResourceDU(1,3)', work='HyperExp(2)', replications=20)",base_hyperexp_2,3.1994222607569722,3.195380239243027,3.203625,3.1974012499999995,3.1881625,20,0.00461142905838601,0.0010311468847968965
