accepted_arrivals,arrival_attempts,completed_jobs,loss_probability,mean_num_jobs,mean_occupied_resource,observed_time,pi_hat_0,pi_hat_1,pi_hat_10,pi_hat_11,pi_hat_12,pi_hat_13,pi_hat_14,pi_hat_15,pi_hat_16,pi_hat_17,pi_hat_18,pi_hat_19,pi_hat_2,pi_hat_20,pi_hat_3,pi_hat_4,pi_hat_5,pi_hat_6,pi_hat_7,pi_hat_8,pi_hat_9,rejected_arrivals,rejected_capacity,rejected_resource,rejected_server,replication_index,scenario_name,seed,throughput,total_time,warmup_time
256175,256312,256176,0.0005345048222478854,2.882352872616696,5.766145732282554,80000.0,0.07326242870062119,0.17704077335926727,0.002359232844816233,0.001110705508070032,0.0005135821483235304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2235284088463839,0.0,0.2013422354650792,0.14382044737191674,0.08807332099221658,0.048021679878375245,0.024211650406826584,0.01144433651711065,0.005271197960992868,137,0,0,137,0,deterministic,42,3.2022,100000.0,20000.0
255955,256103,255954,0.0005778924885690523,2.879093555301034,5.754094268937831,80000.0,0.07379992182954193,0.17662819934901508,0.0023082224855996173,0.0011037829566275378,0.0005162144113268368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22381662948884753,0.0,0.2013767749895991,0.14411723795048906,0.08784837232249756,0.04767046709302058,0.02416618663387335,0.011445475125031726,0.005202515364530064,148,0,0,148,1,deterministic,1000045,3.199425,100000.0,20000.0
255645,255762,255646,0.0004574565416285453,2.8762792568702906,5.752404514721779,80000.0,0.07382814442283943,0.17756860365594312,0.0024422062512171124,0.001182147433947148,0.0004619988707067023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22437845147931643,0.0,0.20089773190566437,0.14380578243567393,0.08717273556828832,0.047188384592800774,0.02388265216611444,0.011825247456485567,0.005365913761002639,117,0,0,117,2,deterministic,2000048,3.195575,100000.0,20000.0
255865,255982,255863,0.0004570633872694174,2.877868130534407,5.746691633656473,80000.0,0.07296687113804365,0.17733282481380253,0.002335183774874304,0.0010875961165716034,0.0004571850518016163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22512377273138123,0.0,0.20149162724779857,0.14318899276198727,0.08745712053904013,0.04736590197283426,0.024138041899181326,0.011685953586779988,0.005368928365903548,117,0,0,117,3,deterministic,3000051,3.1982875,100000.0,20000.0
255786,255909,255785,0.0004806396023586509,2.876761938495727,5.754921317791174,80000.0,0.07279008365154536,0.17765203975420724,0.0024058265404521533,0.0011204773961604588,0.0005289539862196307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22523901249956807,0.0,0.20146942113346664,0.14343073071806944,0.08695965092957089,0.04769744045819557,0.024108850231531323,0.011352740454082732,0.005244772246930506,123,0,0,123,4,deterministic,4000054,3.1973125,100000.0,20000.0
255323,255461,255321,0.0005401998739533627,2.872320747122461,5.736752138450136,80000.0,0.07428110210369478,0.1773095518347585,0.0025473245984279857,0.0011888635259898364,0.000567761947703275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22544350773590627,0.0,0.20090144099660698,0.14282469357722138,0.08746129707872884,0.04698856006549995,0.02373840965802624,0.011376900915175384,0.005370585962260611,138,0,0,138,5,deterministic,5000057,3.1915125,100000.0,20000.0
255007,255103,255000,0.0003763185850421202,2.866003215595683,5.729591476565334,80000.0,0.07392140451117048,0.1787450126481593,0.0023673253956199005,0.0010231321477798246,0.0004009544926221679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22530863395808093,0.0,0.20056323674709334,0.1433346921217063,0.08666452438966071,0.04696132567642785,0.024107837331427073,0.011389427739115445,0.005212492841136691,96,0,0,96,6,deterministic,6000060,3.1875,100000.0,20000.0
256727,256895,256731,0.0006539636816598221,2.891321470240087,5.792429321574807,80000.0,0.07317067080868378,0.17579022888214108,0.002451802905331215,0.001278209807000394,0.0006390686837819885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22302264362849192,0.0,0.20159362942239567,0.14446082641266975,0.0883328087913927,0.048111257240116445,0.024254188938153128,0.011548291235915985,0.005346373243925928,168,0,0,168,7,deterministic,7000063,3.2091375,100000.0,20000.0
256305,256438,256304,0.0005186438827318884,2.884302218685643,5.763758112626265,80000.0,0.07257045776931469,0.1763628017455488,0.002531259275450475,0.0012491512680024243,0.000527245981348824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22490419230547276,0.0,0.20175375067880055,0.1441088737961334,0.0878760437439159,0.04742961885033765,0.02387947194956364,0.011324352564052743,0.005482780072058131,133,0,0,133,8,deterministic,8000066,3.2038,100000.0,20000.0
256015,256148,256018,0.0005192310695379234,2.8789267120284046,5.760737150628374,80000.0,0.07280361506236908,0.1761809933531636,0.0024740319500960142,0.001146512639474804,0.0005254981236137609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2254500692111632,0.0,0.20188073211329846,0.14446213734218685,0.08778090233900125,0.046885118388304226,0.02392878210554618,0.0113542645839746,0.005127342787807947,133,0,0,133,9,deterministic,9000069,3.200225,100000.0,20000.0
