accepted_arrivals,arrival_attempts,completed_jobs,completed_time_samples,loss_probability,mean_num_jobs,mean_occupied_resource,mean_service_time,mean_sojourn_time,observed_time,pi_hat_0,pi_hat_1,pi_hat_10,pi_hat_11,pi_hat_12,pi_hat_13,pi_hat_14,pi_hat_15,pi_hat_16,pi_hat_17,pi_hat_18,pi_hat_19,pi_hat_2,pi_hat_20,pi_hat_21,pi_hat_22,pi_hat_23,pi_hat_24,pi_hat_25,pi_hat_26,pi_hat_27,pi_hat_28,pi_hat_29,pi_hat_3,pi_hat_30,pi_hat_31,pi_hat_32,pi_hat_33,pi_hat_34,pi_hat_35,pi_hat_36,pi_hat_37,pi_hat_38,pi_hat_39,pi_hat_4,pi_hat_40,pi_hat_41,pi_hat_42,pi_hat_43,pi_hat_44,pi_hat_45,pi_hat_46,pi_hat_47,pi_hat_48,pi_hat_49,pi_hat_5,pi_hat_50,pi_hat_51,pi_hat_52,pi_hat_53,pi_hat_54,pi_hat_55,pi_hat_56,pi_hat_57,pi_hat_58,pi_hat_59,pi_hat_6,pi_hat_60,pi_hat_61,pi_hat_62,pi_hat_63,pi_hat_64,pi_hat_65,pi_hat_66,pi_hat_67,pi_hat_68,pi_hat_69,pi_hat_7,pi_hat_70,pi_hat_71,pi_hat_72,pi_hat_73,pi_hat_74,pi_hat_75,pi_hat_76,pi_hat_77,pi_hat_78,pi_hat_79,pi_hat_8,pi_hat_80,pi_hat_81,pi_hat_82,pi_hat_83,pi_hat_84,pi_hat_85,pi_hat_86,pi_hat_87,pi_hat_88,pi_hat_89,pi_hat_9,pi_hat_90,pi_hat_91,pi_hat_92,pi_hat_93,pi_hat_94,pi_hat_95,pi_hat_96,rejected_arrivals,rejected_capacity,rejected_resource,rejected_server,replication_index,scenario_key,scenario_name,seed,std_service_time,std_sojourn_time,suite_name,throughput,total_time,warmup_time
3151652.0,3151857.0,3151635.0,3151635.0,0.00006504102184838969,58.36377715095235,361.966986588559,0.8333333333398152,0.8333333333398152,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.634778811221218e-7,4.968033519819275e-7,4.241610552223089e-7,1.1292080706981425e-6,1.5954905992354422e-6,5.303919045885171e-6,5.165481847769924e-6,7.219290189217039e-6,0.0,0.000014409554084886622,0.000029695703298461416,0.00005103657668132655,0.00009593646133293482,0.0001633582168242558,0.00027563811510319486,0.0004565037722131617,0.0007069233696973445,0.0010951670783434261,0.0016586520549926314,0.0,0.002455871458377563,0.0035074726789641013,0.004918300909480463,0.006566980642310389,0.008671364451512334,0.011308389192430573,0.014349159877840833,0.017818816382791515,0.02159848711292062,0.0258185482216643,0.0,0.03007717581321637,0.034215610250554834,0.03842412123585966,0.04262887207453601,0.04604692738567392,0.048832215161393265,0.05084021872857011,0.05155900574011422,0.051805351107265314,0.05144551984085867,0.0,0.04995859823311968,0.04803739993718729,0.04502959942760105,0.04190237666938612,0.03832583251418176,0.034553238034921684,0.030399860441894272,0.026562874564676854,0.022735721580981427,0.019301540867216964,0.0,0.016146776413094914,0.01317320141424441,0.010635958570329623,0.008471813262476058,0.006720562717238277,0.0052153529614522185,0.004013628614672578,0.0031058355084623446,0.002302412794071663,0.001704024587167502,0.0,0.0012458080166113884,0.0009044396666944926,0.0006494210348278607,0.0004726372062524509,0.0003392715440227322,0.00023135746089622747,0.00015336462883992175,0.00010731919753887067,0.00006664304081281848,0.00003879875500784288,0.0,0.000016019621353007095,9.898209519633382e-6,4.031191426151458e-6,3.9024488725570135e-6,2.7077853439954602e-6,4.4407665554899724e-7,0.0,205.0,0.0,205.0,0.0,0,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",42,5.2153851304301014e-6,5.2153851304301014e-6,baseline_gpu,70.03633333333333,50000.0,5000.0
3146467.0,3146633.0,3146500.0,3146500.0,0.00005275480171980653,58.268182651102315,361.1064739742307,0.8333333333395725,0.8333333333395725,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.468087950346267e-7,1.2266947669559158e-6,2.0883625241064388e-6,3.793122187441137e-6,6.213342435249716e-6,0.0,0.000013110504171224117,0.000028868242724961924,0.00006280736650116726,0.0000916408853056257,0.00015771740618901174,0.00029923641958125194,0.0005108746586114649,0.0007609415598701768,0.0011529670049642946,0.0016914273252072436,0.0,0.002462002511358211,0.0034935398991395535,0.004930203753451052,0.006646032528561793,0.008765984511256283,0.011678580033170146,0.01472776236241041,0.01811229018035469,0.02209946189766593,0.025973048921293148,0.0,0.030442619443112887,0.03473958127663041,0.03916374196777755,0.042900115007886014,0.046338884806024605,0.048910096807438054,0.05092394057213478,0.05219066020073711,0.05241634204802279,0.0516972754265022,0.0,0.05009166743972358,0.04757977226925828,0.04472357898045571,0.041578262541856564,0.03766119334746735,0.03376965782408932,0.02975972281924761,0.02594307985743059,0.022391983586849892,0.018950058876115287,0.0,0.015751333573796687,0.012898018730412636,0.010425340903841788,0.00830470299575906,0.006501667743482802,0.0050909828484985865,0.00398368397550716,0.003038703214420982,0.002320987650697033,0.0017195969112927035,0.0,0.0012554763440488588,0.0009261482138905193,0.000637909977055622,0.00043758899213046083,0.00030717703975086704,0.00019593395417026236,0.00012245293127463003,0.000090601028630206,0.00005593109458570527,0.00003310770155292428,0.0,0.000020504264817140613,0.000013239920616554931,0.00001164002287623589,6.125944207512172e-6,3.782207613565131e-6,1.8892601619073604e-6,1.0711536505873987e-6,166.0,5.0,161.0,0.0,1,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",1000045,5.251893070483004e-6,5.251893070483004e-6,baseline_gpu,69.92222222222222,50000.0,5000.0
3150760.0,3150936.0,3150762.0,3150762.0,0.00005585641853722196,58.34744568155288,361.79874074308145,0.833333333339774,0.833333333339774,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.472670612009501e-7,1.3207606500751959e-6,4.104326373837669e-6,0.000010426892428262767,0.0,0.000018294487209600953,0.00003522130796645797,0.00006058005251626229,0.00010470210263503962,0.00018363706017595783,0.0002964444641088752,0.00046281606660268155,0.000710263299764948,0.001083871243227865,0.0016386862243305384,0.0,0.0024180500088159533,0.0034263750599765747,0.0047804409861791405,0.006430635659356348,0.008674827349054814,0.011366333864587736,0.014362104306497914,0.01785410191003272,0.0216396330046192,0.02571470859605615,0.0,0.02983281534958197,0.03447851378110358,0.039084793707310946,0.04252004346669259,0.04606962587892172,0.048862277403333855,0.05087838646949593,0.05189588449335127,0.052056751434184416,0.05180270857639357,0.0,0.05029787303732153,0.04803276194591407,0.045309738856231865,0.04197841097501332,0.037993377998968896,0.03419475513733147,0.03020605652308558,0.026238975755687212,0.022448418110069826,0.019068184034318418,0.0,0.015953074798332315,0.013074359472080646,0.01070045644146875,0.008578303271605525,0.006753646808462266,0.005244322661280623,0.004021067365670226,0.0030613028449274983,0.002281181692280067,0.0017344689401779356,0.0,0.0012567425731994566,0.0008660046629714998,0.0006182288473991017,0.00042255921643180854,0.0002959504235052615,0.00020374012673172627,0.000144372042433214,0.00009360905593495974,0.00006224533042865611,0.00004092440770954353,0.0,0.00002813593763231539,0.000020079741075056114,9.535045721107357e-6,4.809112250707889e-6,1.1971102443365252e-6,6.173274876750334e-7,3.855080175223217e-7,176.0,2.0,174.0,0.0,2,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",2000048,5.221597368942719e-6,5.221597368942719e-6,baseline_gpu,70.01693333333333,50000.0,5000.0
3147521.0,3147682.0,3147511.0,3147511.0,0.000051148750096102465,58.28734094656471,361.2633794789387,0.8333333333396203,0.8333333333396203,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.072307496655008e-8,2.4545298680297693e-6,3.108829935546156e-6,8.647910174194194e-6,0.0,0.000016304160289655557,0.00003047051362239775,0.00005387766449229174,0.00008753050908415187,0.00015927378494701164,0.0002768831334792291,0.00048027641610337416,0.0007228881432047072,0.0011327046925481935,0.0016823377661279464,0.0,0.0024871342507397356,0.003518071831244055,0.0049073295224997615,0.006791903732649472,0.00890501051453367,0.011496009713750572,0.014555735705052919,0.018107637644620707,0.021929709029807985,0.026174251422468844,0.0,0.030497376208197906,0.034645496272944123,0.038676097294684145,0.04292609181488062,0.04628833814476762,0.04915930878309135,0.05081333209039929,0.05192094432825779,0.05186948182398953,0.051181317227754576,0.0,0.050026981322531035,0.04762801002957725,0.044876031000419384,0.041619593610301854,0.03806673468445998,0.0340181356287756,0.030141696242409265,0.02618864831030567,0.02252826495058408,0.018904688389189142,0.0,0.015665698623606273,0.01293619446102069,0.010532665481477023,0.008440299664840292,0.006699773905263181,0.005301541105023151,0.004042553766210807,0.0030261084689096403,0.002246737877792677,0.0016833364145140473,0.0,0.0012307146480893102,0.0008893885971874827,0.0006350651476514031,0.0004050790702461907,0.0002641877545306367,0.00017705201946355373,0.00011576568073669477,0.0000695210040975831,0.000050814009501401515,0.00003445836226245673,0.0,0.000019021857523148355,0.000013018717508364514,7.579370874312493e-6,3.113416422072785e-6,2.01194753984358e-6,1.90514751403599e-6,1.9317835410927527e-7,161.0,2.0,159.0,0.0,3,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",3000051,5.244711305726497e-6,5.244711305726497e-6,baseline_gpu,69.94468888888889,50000.0,5000.0
3147760.0,3147922.0,3147760.0,3147760.0,0.00005146252035469748,58.29194588083985,361.39277602027727,0.8333333333396321,0.8333333333396321,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.94561124146114e-7,2.1826387351110398e-6,2.9210033381079684e-6,5.797128227641224e-6,0.0,0.000014295984042150343,0.00002675618836965441,0.00006242280585900315,0.00010158198922530978,0.000191815220397661,0.0002815778532736052,0.0004676716746045511,0.0007199123890427371,0.0011279912151773615,0.001722017347772655,0.0,0.002460345448205468,0.0035376437931063064,0.004909397313027047,0.006697428631144167,0.00882199651656851,0.01148688212768589,0.014604598356577844,0.017949991542547995,0.021973459105285333,0.026125267378452555,0.0,0.03031103637199566,0.03470498512908382,0.03899092530543449,0.042789145747021175,0.04613557259006698,0.048585404479171625,0.050673924934208095,0.0521150326594505,0.05210806425023655,0.05187499353310977,0.0,0.050361648916287936,0.047929792571349855,0.04523482887237737,0.0417711184984238,0.03796244957252768,0.0338478976340232,0.029822086137055257,0.02588157004897912,0.022079671760019806,0.018714457691346695,0.0,0.01567437008518795,0.0129964879202288,0.010521802100893244,0.008377192598180308,0.006704529386593539,0.005236529864725748,0.004006092397316752,0.002976504673190761,0.0022657259329068135,0.0016880996607074646,0.0,0.001254971030039552,0.0009397233446641015,0.0006746141327135572,0.000496027171972734,0.00035044268901347097,0.00023786257563739735,0.00014833196015048695,0.00009590947381732096,0.00006687559122078205,0.00004117136810335877,0.0,0.000024443012612472457,0.000015818425077931252,0.000011931937931432104,3.525938688876017e-6,1.190049110704826e-6,6.717653542485399e-7,0.0,162.0,0.0,162.0,0.0,4,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",4000054,5.24294344389715e-6,5.24294344389715e-6,baseline_gpu,69.95022222222222,50000.0,5000.0
3150675.0,3150814.0,3150677.0,3150677.0,0.00004411558409985483,58.34577951980159,361.59084627674935,0.83333333333977,0.83333333333977,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8136035584288443e-7,2.5097696417813294e-6,5.306163590992381e-6,0.0,0.000012854330504706013,0.00002844634012740749,0.00006142657622114914,0.00010250001324313619,0.00016568530447936305,0.0002857907097463289,0.00044839736504491157,0.0007197008159915034,0.0011070213113204064,0.0016771782464097972,0.0,0.0024265206835611835,0.0034203738386110773,0.004744993458128111,0.0065054327142484505,0.008732685004893251,0.011262921900976754,0.014325343043134065,0.017967880908430177,0.0217289374790173,0.025711966144490846,0.0,0.02987671107690783,0.03441952765413589,0.03838684780417522,0.04225086106813635,0.045696345546566694,0.048609203399203396,0.05056545191946898,0.05193679485880069,0.05206679109777627,0.051765304004636935,0.0,0.05023960955774255,0.04843702428310446,0.04553021279178176,0.04230147781708676,0.0387107309732668,0.03484454840311219,0.03068491631677328,0.02647797819435479,0.022690877130960185,0.019205096914647866,0.0,0.01605477598839239,0.013152937743824401,0.010565583327306054,0.008379092010943107,0.006497182171825342,0.005034697659397837,0.00382512675720613,0.0028628402322713655,0.0021287157592972815,0.0016011324418199364,0.0,0.0011331422895589842,0.0008118268262375852,0.0005614015156092744,0.0004069202741774764,0.0002835903866471401,0.00019401164299957195,0.00013112759922544987,0.00008786313285357513,0.00005286954125288806,0.00003319819310371612,0.0,0.000022672786579601558,0.00001571431992518531,9.372743913364602e-6,6.493656785925042e-6,3.5270844918058073e-6,2.9480539604264778e-6,7.715655867488951e-7,139.0,1.0,138.0,0.0,5,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",5000057,5.222203304601409e-6,5.222203304601409e-6,baseline_gpu,70.01504444444444,50000.0,5000.0
3147352.0,3147583.0,3147342.0,3147342.0,0.00007338964532468246,58.28425828060289,361.6121086093704,0.8333333333396123,0.8333333333396123,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1408962091485995e-6,3.268275472995204e-6,0.0,0.000011731535439887213,0.000028938863617541856,0.00005669033865597157,0.00010627628595682634,0.00017076544171419907,0.00028563115553800647,0.00044740412058308723,0.0007213728959106245,0.0011270574519984115,0.0017199791300073735,0.0,0.0025322512381728505,0.0035669749962450726,0.005150176607724703,0.006766683938795642,0.008990310705460918,0.011627036239541727,0.014648669583094912,0.017997668842957785,0.021658558560120257,0.02589625219151223,0.0,0.03000503921051475,0.03451664450483313,0.038678455866265664,0.042594766317317366,0.0464192345217398,0.04904414228530867,0.05126880611471697,0.05218094857612392,0.052327176734134506,0.051514902535293124,0.0,0.049801792536850756,0.04779321075691635,0.04497278606606756,0.041561914193524556,0.03790711707908387,0.03416213721889516,0.03019807974346869,0.026203906711435753,0.022309507900485873,0.01874729411055879,0.0,0.015647390404819755,0.01290250733007906,0.0104738590659298,0.008439874814284626,0.006696895240041421,0.005209051771302822,0.003970704055192255,0.0030622530309702294,0.0022348561331313856,0.0016459051042818221,0.0,0.0012016268165348366,0.0008576294981439989,0.0006194737902518278,0.0004400517323061245,0.0002923091742555698,0.00019361514518136068,0.00013383003365492592,0.00008857801241182541,0.00006129518747153877,0.00004176920201908716,0.0,0.00002785911039150556,0.00001675944301302176,9.256576830011908e-6,5.997340723903714e-6,2.9533048677573484e-6,5.994392691314311e-7,3.9696437496685477e-7,231.0,1.0,230.0,0.0,6,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",6000060,5.245907185663277e-6,5.245907185663277e-6,baseline_gpu,69.94093333333333,50000.0,5000.0
3152517.0,3152694.0,3152524.0,3152524.0,0.00005614246101905228,58.380003168913326,361.8728403610084,0.8333333333398572,0.8333333333398572,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2629864931028956e-7,1.0958001741932499e-6,2.0948042129425125e-6,2.986140420115488e-6,8.73821772028249e-6,0.0,0.000018126169432535892,0.00003398448032132567,0.00005370257663234952,0.00009997517537032966,0.0001567862670249168,0.000258235030172687,0.0004213754012397355,0.000678903159067219,0.0011134717310878437,0.0016463500781578357,0.0,0.0023952404766192153,0.0034362291160969713,0.004720201125463549,0.006387713124243682,0.008595997930194527,0.011200436706763886,0.014377645169546547,0.017786567194309058,0.021668718151509933,0.025903508338842262,0.0,0.03016269126807943,0.03421956617694891,0.03852521859533774,0.04232939320659708,0.04585701295524684,0.048203236124800486,0.05039430400320028,0.051755585332552353,0.05216693482327731,0.051975914117935,0.0,0.05047214401627276,0.04820370885254092,0.045113983567303145,0.04191410820916559,0.03836520173817292,0.034466092189185255,0.030389523279779618,0.02651068562612541,0.022758757990905685,0.01940172647672478,0.0,0.016099887094044626,0.013270775051726297,0.01071598594400752,0.008636203040446466,0.006797506197174132,0.005234589020411396,0.004036316948363391,0.0030621780317302383,0.0022785587923899986,0.001686486159575179,0.0,0.0012311560849641158,0.0008992756148385524,0.0006324295069196927,0.00041129515032644123,0.00028355677871004444,0.00019775732326787773,0.00012453266267323972,0.00009139968393604553,0.000056482897383203736,0.000035302743355350685,0.0,0.00002365243061459397,0.000015941453399662147,0.000011778532891346711,7.589210773261988e-6,4.170118330673884e-6,1.0963143218961907e-6,0.0,177.0,0.0,177.0,0.0,7,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",7000063,5.209048261318589e-6,5.209048261318589e-6,baseline_gpu,70.0560888888889,50000.0,5000.0
3150376.0,3150571.0,3150387.0,3150387.0,0.00006189354247214235,58.34028810051344,361.7103259749873,0.8333333333397563,0.8333333333397563,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7886896431446074e-9,2.0839475161564123e-6,7.39603425325994e-6,0.0,0.000014502991435458373,0.000021539100247779667,0.000044143136584817614,0.00007883432435111091,0.00014021743938366044,0.00024841331237467887,0.0003881926491687409,0.0006445223718492545,0.0010095531893805755,0.0015883758411846228,0.0,0.0023643383602303908,0.003439377949349465,0.004861766504554746,0.0065434118147601516,0.008724570799945408,0.011395971788724717,0.014492787908231629,0.017862489210526775,0.021764704821048468,0.025973472723184024,0.0,0.030284097167941743,0.03436429906054079,0.03842858860844422,0.0424199208392454,0.045991246593110977,0.049004115712810804,0.05089941118875752,0.052064819695053485,0.05242996363440121,0.05191366821706775,0.0,0.05030829713596931,0.04823622367839057,0.045317072421017734,0.04170066052421619,0.03800311441587906,0.0339149955696067,0.030224338285269166,0.026304006511537734,0.02249971113065203,0.019017364762966626,0.0,0.015897119698433035,0.013041683624950605,0.01060046270621046,0.008468809867291626,0.006745865627839137,0.005313157925824837,0.004069828054666545,0.003061326575594507,0.002263886115798515,0.001650760439044158,0.0,0.0012191747191002327,0.0008709852783306512,0.0006005880485911297,0.0004262767194385459,0.00028493860784668264,0.00019721934259551847,0.0001365616284454922,0.00008252572355300396,0.0000467974325804284,0.000029855776159537426,0.0,0.000021050846877046246,0.000010886090927387058,7.773242379496676e-6,4.6491789600824834e-6,6.1450106865474175e-6,3.5431796811382003e-6,1.5403783391068121e-6,195.0,3.0,192.0,0.0,8,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",8000066,5.224265085279231e-6,5.224265085279231e-6,baseline_gpu,70.0086,50000.0,5000.0
3150468.0,3150655.0,3150460.0,3150460.0,0.00005935273776405224,58.341857715022655,361.4865401046569,0.8333333333397598,0.8333333333397598,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4476030934019947e-6,1.7469774931669235e-6,5.943400727200141e-6,0.0,6.721172706440686e-6,0.000020527510343345056,0.00003634293767540334,0.00007278065751824114,0.00014407987449808893,0.0002605474771411941,0.00043094163372469566,0.0006942542216349668,0.0011109220779806088,0.0016652909673474116,0.0,0.0024197631520646,0.0034926355013614537,0.004894566834036818,0.006636580344798717,0.008732134579412094,0.011360468554801164,0.014553307612550997,0.01812416533607476,0.021848419213815497,0.02584447288983645,0.0,0.03009854392797527,0.03421016174172391,0.03855655827016898,0.04221747052953225,0.045667200611813334,0.04857194132283364,0.05066025997893392,0.05187632555873412,0.05237806753570739,0.052010850261079336,0.0,0.050390591671917964,0.0481219472421427,0.04537440120809818,0.04193646522440457,0.038178737221461735,0.03437422215681949,0.030408836904934754,0.02623345792160611,0.02231091123024766,0.01887328097329652,0.0,0.015860160957864355,0.013038713079048992,0.010630095072534844,0.008480284483774731,0.006661094117435641,0.005149926041562341,0.00403065662971589,0.003050864032740679,0.0023737366043861887,0.0017287782439791852,0.0,0.0013089509351900132,0.0009142304985274273,0.0006421916513750248,0.0004407389960607058,0.00030790719990541726,0.00020862547659863696,0.0001300753112888237,0.00008574512394510142,0.00005749633588756195,0.00003756954250837023,0.0,0.00002381484692600174,0.0000134465308919971,7.513243662106106e-6,3.8880674421913375e-6,3.7057022175253627e-6,1.2520049150932915e-6,2.4724554661790734e-7,187.0,1.0,186.0,0.0,9,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",9000069,5.223744403054857e-6,5.223744403054857e-6,baseline_gpu,70.01022222222223,50000.0,5000.0
