ci_high,ci_level,ci_low,max_value,mean,metric_name,min_value,n,scenario_description,scenario_key,scenario_name,std,stderr,suite_name
0.0,0.95,0.0,0.0,0.0,pi_hat_20,0.0,20,"Scenario(name='base_deterministic', K=20, N=12, R=40, resource='ResourceCustom', work='Deterministic', replications=20)",deterministic,base_deterministic,0.0,0.0,service_dist_sensitivity
0.2137432595034751,0.95,0.21299939291436115,0.21471841943894657,0.21337132620891813,pi_hat_3,0.2117633334541729,20,"Scenario(name='base_deterministic', K=20, N=12, R=40, resource='ResourceCustom', work='Deterministic', replications=20)",deterministic,base_deterministic,0.0008486565429619938,0.00018976537196129886,service_dist_sensitivity
0.14885877709603326,0.95,0.1482692998252693,0.1497444628801002,0.14856403846065128,pi_hat_4,0.14721283447003866,20,"Scenario(name='base_deterministic', K=20, N=12, R=40, resource='ResourceCustom', work='Deterministic', replications=20)",deterministic,base_deterministic,0.0006725180967693176,0.00015037961804749758,service_dist_sensitivity
0.08171116288583556,0.95,0.08123668132838664,0.08262673618416838,0.0814739221071111,pi_hat_5,0.08059636411343121,20,"Scenario(name='base_deterministic', K=20, N=12, R=40, resource='ResourceCustom', work='Deterministic', replications=20)",deterministic,base_deterministic,0.0005413227104653733,0.00012104343783650114,service_dist_sensitivity
0.03563211960109241,0.95,0.035277781940644785,0.0361981095379841,0.0354549507708686,pi_hat_6,0.03467424145417167,20,"Scenario(name='base_deterministic', K=20, N=12, R=40, resource='ResourceCustom', work='Deterministic', replications=20)",deterministic,base_deterministic,0.0004042539056833985,0.00009039392132778675,service_dist_sensitivity
0.012470961825513837,0.95,0.012320334601238457,0.01272329072540283,0.012395648213376147,pi_hat_7,0.01212737395871336,20,"Scenario(name='base_deterministic', K=20, N=12, R=40, resource='ResourceCustom', work='Deterministic', replications=20)",deterministic,base_deterministic,0.0001718463785041924,0.00003842601840225328,service_dist_sensitivity
0.003578918857981943,0.95,0.0034887098892620273,0.0037545818904002773,0.003533814373621985,pi_hat_8,0.003268534879316303,20,"Scenario(name='base_deterministic', K=20, N=12, R=40, resource='ResourceCustom', work='Deterministic', replications=20)",deterministic,base_deterministic,0.00010291688410040824,0.000023012914888098012,service_dist_sensitivity
0.0008715108319323365,0.95,0.0008184520430993741,0.0009869333615835786,0.0008449814375158553,pi_hat_9,0.0007502434877759242,20,"Scenario(name='base_deterministic', K=20, N=12, R=40, resource='ResourceCustom', work='Deterministic', replications=20)",deterministic,base_deterministic,0.00006053328508592619,0.000013535654035350516,service_dist_sensitivity
14269.196471004045,0.95,14129.703528995957,14585.0,14199.45,rejected_arrivals,13942.0,20,"Scenario(name='base_deterministic', K=20, N=12, R=40, resource='ResourceCustom', work='Deterministic', replications=20)",deterministic,base_deterministic,159.1435879291006,35.58558807926839,service_dist_sensitivity
0.0,0.95,0.0,0.0,0.0,rejected_capacity,0.0,20,"Scenario(name='base_deterministic', K=20, N=12, R=40, resource='ResourceCustom', work='Deterministic', replications=20)",deterministic,base_deterministic,0.0,0.0,service_dist_sensitivity
14267.269246381025,0.95,14128.330753618973,14581.0,14197.8,rejected_resource,13942.0,20,"Scenario(name='base_deterministic', K=20, N=12, R=40, resource='ResourceCustom', work='Deterministic', replications=20)",deterministic,base_deterministic,158.51103232400274,35.44414434601366,service_dist_sensitivity
2.4323721210339295,0.95,0.8676278789660705,6.0,1.65,rejected_server,0.0,20,"Scenario(name='base_deterministic', K=20, N=12, R=40, resource='ResourceCustom', work='Deterministic', replications=20)",deterministic,base_deterministic,1.785172850248165,0.3991767844741949,service_dist_sensitivity
3.0257680567875362,0.95,3.0221756932124637,3.030775,3.023971875,throughput,3.0143,20,"Scenario(name='base_deterministic', K=20, N=12, R=40, resource='ResourceCustom', work='Deterministic', replications=20)",deterministic,base_deterministic,0.004098426918616047,0.0009164361190840478,service_dist_sensitivity
242108.57610973343,0.95,241663.52389026654,242666.0,241886.05,accepted_arrivals,241056.0,20,"Scenario(name='base_erlang_2', K=20, N=12, R=40, resource='ResourceCustom', work='Erlang(2)', replications=20)",erlang_2,base_erlang_2,507.747603586042,113.53581570310058,service_dist_sensitivity
256300.21077373758,0.95,255825.28922626242,256964.0,256062.75,arrival_attempts,255136.0,20,"Scenario(name='base_erlang_2', K=20, N=12, R=40, resource='ResourceCustom', work='Erlang(2)', replications=20)",erlang_2,base_erlang_2,541.8246827545837,121.1556822526507,service_dist_sensitivity
242108.3309762443,0.95,241663.26902375568,242669.0,241885.8,completed_jobs,241057.0,20,"Scenario(name='base_erlang_2', K=20, N=12, R=40, resource='ResourceCustom', work='Erlang(2)', replications=20)",erlang_2,base_erlang_2,507.75870771770906,113.53829866242445,service_dist_sensitivity
0.055586139102994536,0.95,0.05514186616882247,0.05630768027530111,0.0553640026359085,loss_probability,0.05433572682804465,20,"Scenario(name='base_erlang_2', K=20, N=12, R=40, resource='ResourceCustom', work='Erlang(2)', replications=20)",erlang_2,base_erlang_2,0.0005068585388344078,0.00011333701478099528,service_dist_sensitivity
2.6456509386126865,0.95,2.6403116479374176,2.6550389259342735,2.642981293275052,mean_num_jobs,2.634810355560788,20,"Scenario(name='base_erlang_2', K=20, N=12, R=40, resource='ResourceCustom', work='Erlang(2)', replications=20)",erlang_2,base_erlang_2,0.006091447085612349,0.0013620889764772192,service_dist_sensitivity
15.228481469977279,0.95,15.20585584008213,15.284035048555166,15.217168655029704,mean_occupied_resource,15.171976521145215,20,"Scenario(name='base_erlang_2', K=20, N=12, R=40, resource='ResourceCustom', work='Erlang(2)', replications=20)",erlang_2,base_erlang_2,0.025812947012482875,0.005771950421951182,service_dist_sensitivity
0.07845641790937515,0.95,0.07777994084790861,0.07933186124382205,0.07811817937864188,pi_hat_0,0.07643550300692287,20,"Scenario(name='base_erlang_2', K=20, N=12, R=40, resource='ResourceCustom', work='Erlang(2)', replications=20)",erlang_2,base_erlang_2,0.000771773719614272,0.0001725738500305375,service_dist_sensitivity
0.18801771019822872,0.95,0.1873074972326182,0.18888678738877734,0.18766260371542345,pi_hat_1,0.1862080387415469,20,"Scenario(name='base_erlang_2', K=20, N=12, R=40, resource='ResourceCustom', work='Erlang(2)', replications=20)",erlang_2,base_erlang_2,0.0008102620671264957,0.0001811801061684342,service_dist_sensitivity
0.00018973166648808917,0.95,0.0001620273103707658,0.0002408444290837906,0.00017587948842942748,pi_hat_10,0.00012307678702004523,20,"Scenario(name='base_erlang_2', K=20, N=12, R=40, resource='ResourceCustom', work='Erlang(2)', replications=20)",erlang_2,base_erlang_2,0.00003160712341647174,7.067567653245621e-6,service_dist_sensitivity
0.000035438965086276426,0.95,0.000024974956576076127,0.000053101369304840776,0.000030206960831176275,pi_hat_11,0.000014375273025143542,20,"Scenario(name='base_erlang_2', K=20, N=12, R=40, resource='ResourceCustom', work='Erlang(2)', replications=20)",erlang_2,base_erlang_2,0.000011938094031577345,2.669438977639146e-6,service_dist_sensitivity
6.381154550919867e-6,0.95,2.522858265026904e-6,0.00001313190192795446,4.452006407973386e-6,pi_hat_12,0.0,20,"Scenario(name='base_erlang_2', K=20, N=12, R=40, resource='ResourceCustom', work='Erlang(2)', replications=20)",erlang_2,base_erlang_2,4.4018220950198885e-6,9.84277342932501e-7,service_dist_sensitivity
0.0,0.95,0.0,0.0,0.0,pi_hat_13,0.0,20,"Scenario(name='base_erlang_2', K=20, N=12, R=40, resource='ResourceCustom', work='Erlang(2)', replications=20)",erlang_2,base_erlang_2,0.0,0.0,service_dist_sensitivity
