accepted_arrivals__ci_high,accepted_arrivals__ci_low,accepted_arrivals__max,accepted_arrivals__mean,accepted_arrivals__min,accepted_arrivals__n,accepted_arrivals__std,accepted_arrivals__stderr,arrival_attempts__ci_high,arrival_attempts__ci_low,arrival_attempts__max,arrival_attempts__mean,arrival_attempts__min,arrival_attempts__n,arrival_attempts__std,arrival_attempts__stderr,completed_jobs__ci_high,completed_jobs__ci_low,completed_jobs__max,completed_jobs__mean,completed_jobs__min,completed_jobs__n,completed_jobs__std,completed_jobs__stderr,loss_probability__ci_high,loss_probability__ci_low,loss_probability__max,loss_probability__mean,loss_probability__min,loss_probability__n,loss_probability__std,loss_probability__stderr,mean_num_jobs__ci_high,mean_num_jobs__ci_low,mean_num_jobs__max,mean_num_jobs__mean,mean_num_jobs__min,mean_num_jobs__n,mean_num_jobs__std,mean_num_jobs__stderr,mean_occupied_resource__ci_high,mean_occupied_resource__ci_low,mean_occupied_resource__max,mean_occupied_resource__mean,mean_occupied_resource__min,mean_occupied_resource__n,mean_occupied_resource__std,mean_occupied_resource__stderr,pi_hat_0__ci_high,pi_hat_0__ci_low,pi_hat_0__max,pi_hat_0__mean,pi_hat_0__min,pi_hat_0__n,pi_hat_0__std,pi_hat_0__stderr,pi_hat_10__ci_high,pi_hat_10__ci_low,pi_hat_10__max,pi_hat_10__mean,pi_hat_10__min,pi_hat_10__n,pi_hat_10__std,pi_hat_10__stderr,pi_hat_1__ci_high,pi_hat_1__ci_low,pi_hat_1__max,pi_hat_1__mean,pi_hat_1__min,pi_hat_1__n,pi_hat_1__std,pi_hat_1__stderr,pi_hat_2__ci_high,pi_hat_2__ci_low,pi_hat_2__max,pi_hat_2__mean,pi_hat_2__min,pi_hat_2__n,pi_hat_2__std,pi_hat_2__stderr,pi_hat_3__ci_high,pi_hat_3__ci_low,pi_hat_3__max,pi_hat_3__mean,pi_hat_3__min,pi_hat_3__n,pi_hat_3__std,pi_hat_3__stderr,pi_hat_4__ci_high,pi_hat_4__ci_low,pi_hat_4__max,pi_hat_4__mean,pi_hat_4__min,pi_hat_4__n,pi_hat_4__std,pi_hat_4__stderr,pi_hat_5__ci_high,pi_hat_5__ci_low,pi_hat_5__max,pi_hat_5__mean,pi_hat_5__min,pi_hat_5__n,pi_hat_5__std,pi_hat_5__stderr,pi_hat_6__ci_high,pi_hat_6__ci_low,pi_hat_6__max,pi_hat_6__mean,pi_hat_6__min,pi_hat_6__n,pi_hat_6__std,pi_hat_6__stderr,pi_hat_7__ci_high,pi_hat_7__ci_low,pi_hat_7__max,pi_hat_7__mean,pi_hat_7__min,pi_hat_7__n,pi_hat_7__std,pi_hat_7__stderr,pi_hat_8__ci_high,pi_hat_8__ci_low,pi_hat_8__max,pi_hat_8__mean,pi_hat_8__min,pi_hat_8__n,pi_hat_8__std,pi_hat_8__stderr,pi_hat_9__ci_high,pi_hat_9__ci_low,pi_hat_9__max,pi_hat_9__mean,pi_hat_9__min,pi_hat_9__n,pi_hat_9__std,pi_hat_9__stderr,rejected_arrivals__ci_high,rejected_arrivals__ci_low,rejected_arrivals__max,rejected_arrivals__mean,rejected_arrivals__min,rejected_arrivals__n,rejected_arrivals__std,rejected_arrivals__stderr,rejected_capacity__ci_high,rejected_capacity__ci_low,rejected_capacity__max,rejected_capacity__mean,rejected_capacity__min,rejected_capacity__n,rejected_capacity__std,rejected_capacity__stderr,rejected_resource__ci_high,rejected_resource__ci_low,rejected_resource__max,rejected_resource__mean,rejected_resource__min,rejected_resource__n,rejected_resource__std,rejected_resource__stderr,rejected_server__ci_high,rejected_server__ci_low,rejected_server__max,rejected_server__mean,rejected_server__min,rejected_server__n,rejected_server__std,rejected_server__stderr,replications,scenario_description,scenario_name,throughput__ci_high,throughput__ci_low,throughput__max,throughput__mean,throughput__min,throughput__n,throughput__std,throughput__stderr
162215.06346440452,161870.3365355955,162478.0,162042.7,161732.0,10,278.09752486013485,87.94215902133249,162226.3885143737,161881.8114856263,162489.0,162054.1,161746.0,10,277.9765977360125,87.90391850702044,162215.82526997346,161869.97473002653,162480.0,162042.9,161732.0,10,279.003962536576,88.22879978278696,8.104628767603323e-05,5.9649889696206916e-05,9.257887720337727e-05,7.034808868612008e-05,3.08419228088356e-05,10,1.726086598360499e-05,5.458365089511435e-06,1.6513032731104922,1.6476106794823393,1.6543174615656282,1.6494569762964157,1.6464223598407932,10,0.0029788828852198505,0.0009420054800188659,3.3033087148626223,3.292250631432321,3.309135548022348,3.297779673147472,3.2859214318471404,10,0.008920758358762564,0.002820991486967519,0.20267003479657755,0.20148627935326355,0.20363165866227395,0.20207815707492055,0.20001617158604512,10,0.0009549571887600559,0.00030198397844331224,4.091293876385469e-06,1.5251589871563113e-06,6.7201612697115505e-06,2.80822643177089e-06,0.0,10,2.0701479969011617e-06,6.546382763842862e-07,0.31415960059540543,0.3127116473483877,0.31450626819138383,0.31343562397189656,0.3113083764424884,10,0.0011680903940402834,0.00036938261581308674,0.2528776830923329,0.25156479478381705,0.25482908422041456,0.25222123893807497,0.2507245384883957,10,0.0010591310353312783,0.0003349266412219108,0.1409062658703753,0.13982495558155306,0.14181726389937832,0.14036561072596418,0.13869230201416494,10,0.0008723128070272493,0.00027584953023410407,0.06111278112105817,0.06051864540349536,0.06158873649590409,0.06081571326227676,0.06006405745065998,10,0.0004793001610174757,0.00015156801917006705,0.022107511490588927,0.02174951623993049,0.02241197296949075,0.021928513865259708,0.021472171888679684,10,0.0002888013230174816,9.13269972005254e-05,0.006997123504832969,0.006789627648793174,0.007145244618132832,0.0068933755768130715,0.006666219981780443,10,0.00016739070597925786,5.293358900380207e-05,0.001989359113183187,0.0018592735532130776,0.0021147706038384057,0.0019243163331981322,0.001761754564162402,10,0.00010494240288310868,3.318570162416443e-05,0.00031519191941712125,0.00027222485856450503,0.0003621989953528302,0.00029370838899081314,0.0002473934140768203,10,3.466231464687074e-05,1.0961186325752654e-05,4.7685816728306074e-05,3.4181455618718206e-05,6.116886924321282e-05,4.093363617351214e-05,2.5240236134413864e-05,10,1.0894215350012643e-05,3.4450533826408418e-06,13.133457370487811,9.66654262951219,15.0,11.4,5.0,10,2.7968235951204043,0.8844332774281066,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,13.133457370487811,9.66654262951219,15.0,11.4,5.0,10,2.7968235951204043,0.8844332774281066,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,10,"Scenario(name='base_deterministic', K=10, N=10, R=20, resource='ResourceDU(1,3)', work='Deterministic', replications=10)",base_deterministic,1.8023980585552608,1.798555274778073,1.8053333333333332,1.800476666666667,1.7970222222222223,10,0.0031000440281841487,0.0009803199975865126
162069.02622120245,161604.97377879755,162551.0,161837.0,161374.0,10,374.3596013342133,118.38290041687233,162077.49491060237,161615.1050893976,162558.0,161846.3,161383.0,10,373.0183343721563,117.95875456182884,162069.36724921103,161605.23275078894,162551.0,161837.3,161373.0,10,374.42579742557507,118.40383345896271,7.768738388527585e-05,3.7270401532692865e-05,0.00011732885425286221,5.747889270898436e-05,1.8572286434182912e-05,10,3.260511963310029e-05,1.0310644142287047e-05,1.6498393258277246,1.640989621503836,1.6556381806598583,1.6454144736657803,1.6357537911886366,10,0.0071392185017868925,0.0022576191179261456,3.3016826780199438,3.2793354696815014,3.3186208196072697,3.2905090738507226,3.267661351304254,10,0.018027902107692995,0.005700923209486,0.2031428737166047,0.20151255293772155,0.20414135933543237,0.20232771332716312,0.19972547787318568,10,0.0013152096208493339,0.0004159058002450373,4.368137514438035e-06,1.9690524451205655e-06,6.380053123413947e-06,3.1685949797793e-06,4.1044910709994535e-07,10,1.935385848767646e-06,6.120227433363944e-07,0.315123139360315,0.313207779678628,0.3162415910899503,0.3141654595194715,0.3118942053665974,10,0.0015451557223403578,0.0004886211422238248,0.25315253791958614,0.25195918676155027,0.25397721606676615,0.2525558623405682,0.2515003240414229,10,0.000962698227508156,0.00030443190983327374,0.14042799489707947,0.13913698073590736,0.1414781694645091,0.1397824878164934,0.13815834148757475,10,0.0010414847601889863,0.0003293463990551453,0.06092535461369654,0.06005066826809194,0.06148356495390316,0.06048801144089424,0.05925365052538182,10,0.0007056254890849058,0.0002231383720578584,0.022070612573763762,0.021455147691189745,0.02261768520019042,0.021762880132476754,0.02118006470968861,10,0.0004965067889343639,0.00015700923267690755,0.006867279856119181,0.006635704182863378,0.0070721314098970344,0.00675149201949128,0.006449524736847444,10,0.00018681633538973662,5.907651239574875e-05,0.001894515462888515,0.0018150462613618565,0.0019267434140514928,0.0018547808621251858,0.001728074390847117,10,6.410925982350254e-05,2.0273128014979226e-05,0.0002943821742483519,0.0002536578835910414,0.000328168571631391,0.00027402002891969664,0.00022559036076288773,10,3.285303086883969e-05,1.038904055853539e-05,3.916347526181741e-05,2.9084359572017826e-05,5.002886959345132e-05,3.412391741691762e-05,2.352606670968574e-05,10,8.131007159191624e-06,2.571250229418083e-06,12.567259896909201,6.0327401030908,19.0,9.3,3.0,10,5.271516754112509,1.6669999666733315,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,12.567259896909201,6.0327401030908,19.0,9.3,3.0,10,5.271516754112509,1.6669999666733315,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,10,"Scenario(name='base_exponential', K=10, N=10, R=20, resource='ResourceDU(1,3)', work='Exponential', replications=10)",base_exponential,1.8007707472134558,1.7956136972309882,1.8061222222222222,1.798192222222222,1.7930333333333333,10,0.004160286638061924,0.0013155981495440233
162012.83434516023,161487.16565483977,162232.0,161750.0,160984.0,10,424.0665566210621,134.10161984273137,162024.0508543135,161498.9491456865,162243.0,161761.5,161001.0,10,423.60916210844897,133.95697899781936,162012.52890879463,161487.27109120536,162231.0,161749.9,160985.0,10,423.7350980663902,133.9968034444603,8.186723145888942e-05,6.03314990702967e-05,0.00010558940627697965,7.109936526459306e-05,4.9474029226782765e-05,10,1.737326960214345e-05,5.493910234694062e-06,1.6507547363483595,1.644508590811095,1.6544899058672684,1.6476316635797272,1.6403745030573098,10,0.005038879961686484,0.0015934337535111268,3.3038212817660386,3.2877874364807815,3.3116234504700244,3.29580435912341,3.278025237217503,10,0.012934796545269777,0.0040903418153929744,0.20334840839641943,0.20183136915998023,0.20378925521694077,0.20258988877819983,0.20016936513965136,10,0.001223823326558833,0.0003870069165569948,3.846094127678488e-06,1.3435755108436042e-06,7.631995785050094e-06,2.594834819261046e-06,5.136194735920677e-07,10,2.018827585250126e-06,6.384093372568148e-07,0.31427330000627807,0.31301976948051924,0.3149831697111824,0.31364653474339865,0.3116570158789732,10,0.001011246025236666,0.00031978407145399776,0.2525115469744198,0.25131879098858,0.2536008750732876,0.2519151689814999,0.2503378532310481,10,0.0009622180912008804,0.00030428007740144043,0.14079709896173764,0.13943378121933897,0.14203165568984583,0.1401154400905383,0.1382813284283713,10,0.0010998133829255702,0.00034779152911797417,0.061009682365583885,0.06034617749785618,0.06129667709282031,0.06067792993172003,0.05971268081859897,10,0.0005352615244919131,0.00016926455612484466,0.02204187136902408,0.02170428635727538,0.022227549432259366,0.02187307886314973,0.021427833411542755,10,0.0002723360096106853,8.612020792512712e-05,0.007015438244489488,0.006828955635611006,0.007185033845025707,0.006922196940050247,0.006717312564125092,10,0.00015043893477581613,4.757296826610912e-05,0.0019795960241810835,0.0018622180418277512,0.0020492537496778823,0.0019209070330044175,0.0017786909829322717,10,9.469096736455757e-05,2.9943913071667348e-05,0.00032844235295997524,0.0002724794330736548,0.00037979004640195245,0.000300460893016815,0.0002331561148325919,10,4.514631206242131e-05,1.4276517407398513e-05,4.2335270739453914e-05,2.9262550466229116e-05,5.9110550710587025e-05,3.5798910602841515e-05,2.6241134959410474e-05,10,1.054600278467623e-05,3.3349389010055163e-06,13.234688082300984,9.765311917699016,17.0,11.5,8.0,10,2.798809270624444,0.8850612031567835,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,13.234688082300984,9.765311917699016,17.0,11.5,8.0,10,2.798809270624444,0.8850612031567835,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,10,"Scenario(name='base_erlang_2', K=10, N=10, R=20, resource='ResourceDU(1,3)', work='Erlang(2)', replications=10)",base_erlang_2,1.8001392100977183,1.794303012124504,1.8025666666666667,1.7972211111111112,1.7887222222222223,10,0.0047081677562932165,0.001488853371605112
162094.7022566166,161535.6977433834,162562.0,161815.2,161032.0,10,450.95917528949093,142.60581256659134,162105.78671069845,161544.41328930156,162573.0,161825.1,161041.0,10,452.8702168760199,143.21013697826467,162095.71533640567,161535.28466359433,162566.0,161815.5,161031.0,10,452.1096843318739,142.96963547084627,7.441308911241927e-05,4.7882350154169996e-05,9.856586664038244e-05,6.114771963329463e-05,1.8579762922225113e-05,10,2.1402832852339096e-05,6.768170019326979e-06,1.649539921967589,1.6434718200494272,1.6541658420199776,1.646505871008508,1.6380926761356687,10,0.004895248914466888,0.001548013628318215,3.30151281998879,3.2886624489463396,3.3064832846031575,3.295087634467565,3.276743270292225,10,0.010366629589357646,0.0032782161161666185,0.20331473220734772,0.20173396886475128,0.20449040834242438,0.2025243505360495,0.20031949107012972,10,0.0012752307296807158,0.0004032633648029549,4.864054625296543e-06,6.309977411223121e-07,1.136470386902349e-05,2.7475261832094274e-06,0.0,10,3.4148844888564267e-06,1.0798812931166193e-06,0.31439248337009346,0.3131342817072505,0.31560313586244926,0.313763382538672,0.31213545154947153,10,0.0010150143170433756,0.0003209757099537331,0.2526140738273303,0.2512574753847923,0.2541656208565806,0.2519357746060613,0.2508147611657737,10,0.001094392800708459,0.0003460773905129465,0.1410919247971658,0.13998945728212087,0.14166822129364262,0.14054069103964334,0.1385070397690778,10,0.0008893807287755201,0.00028124688099910995,0.06069796293283466,0.0602322938541349,0.061126839328297905,0.06046512839348478,0.0598241215082207,10,0.0003756637714312389,0.0001187953152131607,0.02197902174157446,0.021642594682728344,0.022189486902922443,0.0218108082121514,0.021354708564312024,10,0.0002714018678039353,8.582480634843564e-05,0.006812542153525929,0.006688710040545505,0.006950869465828004,0.006750626097035717,0.006601156347990622,10,9.989763270607684e-05,3.159040522101328e-05,0.0019502821800311803,0.001818281647864771,0.0020749220645674238,0.0018842819139479757,0.001754438968380095,10,0.00010648724601389299,3.367422391625881e-05,0.00030549315704062036,0.00026805878002223485,0.00033130841053039656,0.0002867759685314276,0.00022678778805499558,10,3.0198997303346116e-05,9.549761453185654e-06,4.420828598935689e-05,2.6658050489238547e-05,6.127482260055532e-05,3.543316823929772e-05,1.7098018617353876e-05,10,1.4158096294239356e-05,4.477183162178583e-06,12.05596038299406,7.7440396170059405,16.0,9.9,3.0,10,3.4785054261852175,1.1,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,12.05596038299406,7.7440396170059405,16.0,9.9,3.0,10,3.4785054261852175,1.1,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,10,"Scenario(name='base_erlang_4', K=10, N=10, R=20, resource='ResourceDU(1,3)', work='Erlang(4)', replications=10)",base_erlang_4,1.8010635037378406,1.7948364962621588,1.8062888888888888,1.7979499999999997,1.7892333333333332,10,0.005023440937020849,0.001588551505231634
161845.04974249142,161618.55025750856,162121.0,161731.8,161497.0,10,182.72128137320698,57.7815426123833,161852.45010699102,161626.949893009,162123.0,161739.7,161501.0,10,181.91515116180463,57.526621856512854,161843.93815248192,161617.4618475181,162120.0,161730.7,161495.0,10,182.70258162744537,57.775629233556025,6.242231143669844e-05,3.527526365074035e-05,8.031632274805388e-05,4.88487875437194e-05,1.2336312552814839e-05,10,2.1900020467264968e-05,6.925394548086228e-06,1.6569811125629206,1.6413861077598841,1.6703423130624233,1.6491836101614024,1.6254919031709671,10,0.012580775893806594,0.003978390655656946,3.314572159055113,3.2805246138342072,3.3403001203316482,3.29754838644466,3.240175663320868,10,0.027466778084932367,0.008685757873478405,0.20309102062470616,0.20045776989252675,0.20447290272241675,0.20177439525861646,0.1982124806874544,10,0.002124291576191132,0.0006717599795073091,9.906126530629337e-06,2.274450122577487e-06,1.4518266398954437e-05,6.090288326603412e-06,0.0,10,6.156613081969425e-06,1.9468920011412305e-06,0.31537000393239334,0.3124369586230721,0.3170879782649787,0.3139034812777327,0.3100779069864177,10,0.002366141350323015,0.0007482395932927112,0.2529933036990488,0.25125986098841313,0.2540659513226182,0.252126582343731,0.24942024332455803,10,0.0013983999711891053,0.00044221289888714125,0.1414306913761801,0.13930867818576695,0.1430810240024228,0.14036968478097353,0.13795581670375623,10,0.0017118668913196735,0.0005413398427602094,0.06159760460232979,0.06020302096749213,0.062435096147006236,0.06090031278491096,0.05849401210659117,10,0.001125036150783773,0.000355767668650535,0.02229147096352799,0.021459755655131012,0.02278645785890755,0.0218756133093295,0.020418672948427554,10,0.0006709599666396489,0.00021217617133718826,0.0070006397921061015,0.006597041298644542,0.007147524599802596,0.006798840545375322,0.006086965081934533,10,0.0003255902939080314,0.00010296069127930244,0.001976883498820355,0.001851918560939433,0.0020570798115419164,0.001914401029879894,0.0017644539442894407,10,0.00010081150329349142,3.187939647529989e-05,0.0003149086699934601,0.0002681845856036793,0.0003486027091285198,0.0002915466277985697,0.0002326885866663967,10,3.7693174319297366e-05,1.1919628309074652e-05,5.0721465152301765e-05,2.7382041498789996e-05,7.350827653281158e-05,3.905175332554588e-05,1.8870219575668063e-05,10,1.8828340368209813e-05,5.954044012443637e-06,10.095198550514702,5.704801449485298,13.0,7.9,2.0,10,3.5418137224371984,1.120019841094096,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,10.095198550514702,5.704801449485298,13.0,7.9,2.0,10,3.5418137224371984,1.120019841094096,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,10,"Scenario(name='base_hyperexp_2', K=10, N=10, R=20, resource='ResourceDU(1,3)', work='HyperExp(2)', replications=10)",base_hyperexp_2,1.7982659794720213,1.7957495760835342,1.8013333333333332,1.7970077777777778,1.7943888888888888,10,0.002030028684749382,0.0006419514359283968
